apiAuditId,moduleName,exportName,route,requestMethod,discoveredFrom,moduleChecksum,checksumSource,inRepo,inPkg,repoPkgChecksumDiffer,title,category,frequency,testPhase,sideEffectClass,authRequirementHypothesis,paginationKind,consumes,produces,aliasOf,replacement,deprecatedEvidence,cryptoMode,checkToken,unblock,hasCookie,localOnly,asyncFn,params,defaults,plannedCaseCount,executedCaseCount,terminalStatus,reportPath,blocker
ncm.activate_init_profile,activate_init_profile,activate_init_profile,/api/activate/initProfile,POST,"repo-module,pkg-module,types,docs:/activate/init/profile,tests",647673c5cf5a636a1129a33bf6717cd5dce7081455566e5305dbbfb1855c47f4,pkg,true,true,false,初始化名字,auth,medium,P0,reversible_write,user,none,,,,,,,false,false,false,false,true,nickname,,4,0,blocked_by_prerequisite,endpoints/ncm.activate_init_profile.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.ad_get,ad_get,ad_get,/api/ad/get,POST/xeapi,"repo-module,pkg-module,types-missing,docs:/ad/get",90150bc9509df4b8293d1c73895f06a790bfa4e24207af9edba2a06c3391aa10,pkg,true,true,false,获取广告,other,rare,P2,read,none,none,,,,,,xeapi,false,false,false,false,true,type_ids,[object Object],5,4,partial,endpoints/ncm.ad_get.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.ad_listening_rights,ad_listening_rights,ad_listening_rights,/api/ad/homepage/free/tab/extend/v2,POST/xeapi,"repo-module,pkg-module,types-missing,docs:/ad/listening/rights",ed07a0bed601557158826734d0a71ae2d9ef4f3c77a7e635a506fea85bf19dc0,pkg,true,true,false,获取免费听时长状态,other,rare,P2,read,none,none,,,,,,xeapi,false,false,false,false,true,,,5,4,partial,endpoints/ncm.ad_listening_rights.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.ad_listening_rights_gain,ad_listening_rights_gain,ad_listening_rights_gain,/api/ad/listening/rights/gain,POST/xeapi,"repo-module,pkg-module,types-missing,docs:/ad/listening/rights/gain",d57d3bfcf755d5537b826789f905cc4c09d8badbf755203b4e96d8147afe12c6,pkg,true,true,false,看广告免费听歌 - 领取免费听权益,other,rare,P2,read,none,none,,,,,,xeapi,false,false,false,false,true,"reqUid,type_ids,creativeType,exposureTime,clickTime,rightsGainMethod,rightsGainDuration,extraRightsGainMethod,extraRightsGainDuration,nextRightsGainDuration,source,rightsExtJson,appInfo,installed",[object Object],5,4,partial,endpoints/ncm.ad_listening_rights_gain.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.aidj_content_rcmd,aidj_content_rcmd,aidj_content_rcmd,/api/aidj/content/rcmd/info,POST,"repo-module,pkg-module,types,docs:/aidj/content/rcmd",aa940e83c49af5b1d57d2cd6962ecde64fbca9b58774977b388cec721ac9f428,pkg,true,true,false,私人 DJ,other,rare,P2,read,none,none,,,,,,,false,false,false,false,true,"latitude,longitude",,5,4,partial,endpoints/ncm.aidj_content_rcmd.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.album,album,album,/api/v1/album/${query.id} (templated),POST/weapi,"repo-module,pkg-module,types,docs:/album",c7a2981784dcfd5f56196f3df3697545238f975c04956a9488bcfd2a328336af,pkg,true,true,false,专辑内容,album,high,P1,read,none,none,albumId,"albumId,songId",,,,weapi,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.album.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_detail,album_detail,album_detail,/api/vipmall/albumproduct/detail,POST/weapi,"repo-module,pkg-module,types,docs:/album/detail",585ef4c264829b1838fa2703df4bda166293266621afc10a73d577fdfc9108d3,pkg,true,true,false,数字专辑详情,album,high,P1,read,none,none,albumId,"albumId,songId",,,,weapi,false,false,false,false,true,id,,6,4,partial,endpoints/ncm.album_detail.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_detail_dynamic,album_detail_dynamic,album_detail_dynamic,/api/album/detail/dynamic,POST/weapi,"repo-module,pkg-module,types,docs:/album/detail/dynamic",64a4c7ff56b4de0fc950ece4d26b5f12d54d6885cd16d1ce4e4dbee50f10e63c,pkg,true,true,false,专辑动态信息,album,medium,P1,read,none,none,albumId,"albumId,songId",,,,weapi,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.album_detail_dynamic.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_list,album_list,album_list,/api/vipmall/albumproduct/list,POST/weapi,"repo-module,pkg-module,types,docs:/album/list",8e914d4c08e2fe590f07de6fe72f4691bf9f5e6204e1c08a81b7d59eed7b0271,pkg,true,true,false,数字专辑-新碟上架,album,medium,P1,read,none,offset,pageToken,"albumId,songId",,,,weapi,false,false,false,false,true,"limit,offset,area,type","[object Object],[object Object],[object Object]",8,5,partial,endpoints/ncm.album_list.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_list_style,album_list_style,album_list_style,/api/vipmall/appalbum/album/style,POST/weapi,"repo-module,pkg-module,types,docs:/album/list/style",1b46234904ea3cfd155ee4bed61c3b490523a0ef509d086b1047814b0f897a91,pkg,true,true,false,数字专辑-语种风格馆,album,medium,P1,read,none,offset,pageToken,"albumId,songId",,,,weapi,false,false,false,false,true,"limit,offset,area","[object Object],[object Object],[object Object]",8,4,partial,endpoints/ncm.album_list_style.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
