apiAuditId,jsonPath,rawType,elementType,requiredObserved,presenceCount,sampleCount,nullCount,emptyCount,exampleRedacted,valueRangeOrEnum,authConditions,resourceConditions,firstSeenCase,lastSeenCase,semanticName,semanticConfidence,sourceEvidence,normalizedEntity,normalizedField,conflictId
ncm.inner_version,code,number,,observed,4,4,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.inner_version,data.version,string,,observed,4,4,0,0,4.39.0,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,code,number,,observed,2,2,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,data.code,number,,observed,2,2,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,data.unikey,string,,observed,2,2,0,0,6d9aad50-72ca-4641-9e94-787cca2d5c0f,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.account,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.code,number,,observed,8,8,0,0,200,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.profile,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.logout,code,number,,observed,2,2,0,0,200,,AUTH_NONE|AUTH_INVALID_TRUNCATED,,,,,unknown,runtime-phase1,,,
ncm.register_anonimous,code,number,,observed,2,2,0,0,400,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.user_account,account,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.user_account,code,number,,observed,8,8,0,0,200,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.user_account,profile,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.user_detail,code,number,,observed,1,1,0,0,400,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.user_detail,message,string,,observed,1,1,0,0,参数错误,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.inner_version,code,number,,observed,4,4,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.inner_version,data.version,string,,observed,4,4,0,0,4.39.0,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,code,number,,observed,2,2,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,data.code,number,,observed,2,2,0,0,200,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_qr_key,data.unikey,string,,observed,2,2,0,0,6d9aad50-72ca-4641-9e94-787cca2d5c0f,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.account,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.code,number,,observed,8,8,0,0,200,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.login_status,data.profile,null,,observed,8,8,8,0,,,AUTH_NONE|AUTH_ANON|AUTH_INVALID_TRUNCATED|AUTH_INVALID_EXPIRED,,,,,unknown,runtime-phase1,,,
ncm.logout,code,number,,observed,2,2,0,0,200,,AUTH_NONE|AUTH_INVALID_TRUNCATED,,,,,unknown,runtime-phase1,,,
ncm.register_anonimous,code,number,,observed,2,2,0,0,400,,AUTH_NONE,,,,,unknown,runtime-phase1,,,
