apiAuditId,jsonPath,rawType,elementType,requiredObserved,presenceCount,sampleCount,nullCount,emptyCount,exampleRedacted,valueRangeOrEnum,authConditions,resourceConditions,firstSeenCase,lastSeenCase,semanticName,semanticConfidence,sourceEvidence,normalizedEntity,normalizedField,conflictId
ncm.ad_get,code,number,,observed,4,4,0,0,200,,AUTH_ANON|AUTH_INVALID_EXPIRED|AUTH_NONE,,ncm.ad_get.anon.001,ncm.ad_get.none.002,,unknown,runtime,,,
ncm.ad_get,extra.reqId,string,,observed,4,4,0,0,,,AUTH_ANON|AUTH_INVALID_EXPIRED|AUTH_NONE,,ncm.ad_get.anon.001,ncm.ad_get.none.002,,unknown,runtime,,,
ncm.ad_get,message,string,,observed,4,4,0,0,请稍后再试 (10031),,AUTH_ANON|AUTH_INVALID_EXPIRED|AUTH_NONE,,ncm.ad_get.anon.001,ncm.ad_get.none.002,,unknown,runtime,,,
ncm.ad_listening_rights,code,number,,observed,1,1,0,0,200,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.actionTitle,string,,observed,1,1,0,0,领30分钟,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.actionUrl,string,,observed,1,1,0,0,orpheus://nm/motivationAd/show?adPosition=400002&source=130&,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.assetCardStyle,string,,observed,1,1,0,0,t1,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.cardContent.actionTitle,string,,observed,1,1,0,0,点击领取30分钟免费听,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.cardContent.actionUrl,string,,observed,1,1,0,0,orpheus://nm/motivationAd/show?adPosition=400002&resourceId=,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
ncm.ad_listening_rights,data.cardContent.amount,number,,observed,1,1,0,0,30,,AUTH_ANON,,ncm.ad_listening_rights.anon.001,ncm.ad_listening_rights.anon.001,,unknown,runtime,,,
